买了没几天就降了五六百,1
没收到三星屏的 不是很爽,1
外形外观：机器角有磕碰,1
到货开箱后有磕碰痕迹,1
买完就降价，我只能说典,1
刚好第八天就降价，还说什么秒杀不能价保,1
客服服务差，不到位，踢皮球,1
**东西刚买完就降价还不补差价,1
手机刚打开就发现屏幕有划痕,1
一个月内连续降价 问就是不在保期 活动事实更新。大型活动前千万别买  千万别信客服有保价,1
保价期降价200没提醒，过了一天找客服就不保价了。,1
手机才买半个月就降价 不给补差价觉得亏的不能买,1
刚激活，发现右下角刮痕,1
刚买就降价200，这京东耍人玩吧,1
我服了 七千九买的 现在六千四我人麻了兄弟们,1
刚买了，就降价了，7天保价单都没用。,1
5.15买的现在又降价600我服不给保价,1
买的才过15天又掉200块  还不给补差价,1
买来送人的，收到货后包装上出现了磕碰变形，时间上来不及换货了，,1
买了十天就降价 还不能保价！,1
包装有损伤，商家一直不承担责任,1
买完就降价600打客服也不退，正常也不退，我真服了,1
充电器不一起发货，客服还答非所问,1
收到后边框有瑕疵，退款重拍后就涨价了，,1
刚买完就降价保价只有7天,1
买了不到一个月就掉价,1
两周降了两次价格了，而且降的幅度还挺大,1
这次购物不是很满意.,1
过了保价就马上降价200 我真服了,1
买了几天就降价，还不给退差价,1
答应了开专用发票。最后不了了之。,1
东西买完就降价，还不给价保,1
保价7天，第八天降价，可还行？,1
刚买一周，降价200，吐了,1
买了两天就降价300多,1
买了十多天就降价400 真是够了,1
买完就降价，保价周期内还不给保价,1
价保刚过一天就降了100,1
拿到手后每一次充电都很烫，烧手的那种！,1
卖了五天不到降价，还说保价？,1
才七天保价，又降价了。,1
买了3天就降300，还不能保价,1
不给价保。买后第二天降价。不处理。我要退货,1
买完刚7天降价400，我谢谢你,1
刚过价保价期就降价，毫无购物体验,1
刚买到手两天就便宜了二百块，这韭菜割的！！！,1
买了几天就降价200，曹,1
手机有瑕疵 屏幕有划痕  购机需谨慎,1
没过几天就降价了好几百,1
到手几天降价了，损失几百,1
**苹果，五一活动比平时还贵,1
才收到货，就降价了几百,1
买了没多久就降价了，淦,1
保修时间不对，四月底买的，保修时间截止到第二年二月,1
20多天降价五百多，我已是醉了,1
年前买，年后降价，割韭菜,1
差差差，不会再来京东购物了！！！！,1
就那样吧 买了十几天降价800,1
才买了没多久就掉价哪里厉害了哎,1
买了不到一个周降价了300，还得是京东,1
买完就降价，你是真的行?,1
同城配送，送了一个星期你敢信，京东现在是怎么了,1
